open,high,low,close,real_volume,pivot,r1,s1,r2,s2,r3,s3,ema50,ema200,atr14,engulfing,hammer,hour,day_of_week,signal,target
1939.78,1940.2,1930.1,1931.79,0,1930.7833333333333,1937.7066666666672,1920.376666666667,1948.1133333333337,1913.4533333333331,1955.0366666666675,1889.2,1930.9448105948588,1943.4289533074864,8.375205302134654,-100,0,21,1,-1,1
1879.89,1880.59,1877.3,1877.62,0,1870.6733333333327,1881.5266666666664,1856.4666666666665,1895.7333333333331,1845.613333333333,1906.5866666666664,1809.7,1879.1575065679876,1893.392084771996,5.55636513429996,-100,0,21,4,-1,0
1914.29,1916.35,1899.65,1899.65,0,1902.0266666666664,1917.2333333333331,1893.5933333333328,1925.6666666666667,1878.3866666666663,1940.8733333333332,1839.54,1893.3840886359997,1894.8543064455644,6.015158150630229,-80,0,2,2,-1,1
1815.99,1817.36,1812.89,1813.97,0,1808.7233333333331,1815.9266666666667,1799.8066666666666,1824.8433333333332,1792.6033333333332,1832.0466666666669,1769.2799999999995,1816.9302649000529,1850.2943606508104,4.3877231135770645,-100,0,11,3,-1,1
1826.69,1827.2,1824.72,1825.87,0,1802.69,1829.83,1788.1699999999996,1844.35,1761.0299999999995,1871.49,1692.2299999999998,1811.9113914420936,1828.578573623315,5.958584465993334,-80,100,19,2,-1,0
1829.46,1830.11,1827.62,1828.22,0,1802.69,1829.83,1788.1699999999996,1844.35,1761.0299999999995,1871.49,1692.2299999999998,1813.8303140705373,1828.5876967009365,5.3662536704764365,-100,0,22,2,-1,0
1941.99,1948.55,1941.17,1944.5,0,1945.6333333333328,1957.1366666666663,1938.3666666666663,1964.4033333333327,1926.8633333333328,1975.9066666666663,1896.59,1927.924517700973,1892.677506658595,6.0561199299181805,100,0,6,2,1,1
1860.31,1861.52,1857.11,1859.57,0,1839.0866666666668,1861.6433333333337,1821.7933333333333,1878.936666666667,1799.236666666667,1901.4933333333336,1736.8299999999997,1877.9497890072423,1892.605278652044,7.00140166421906,-100,0,14,1,-1,0
1823.5,1823.95,1818.81,1820.52,0,1820.4133333333327,1824.8566666666663,1813.9066666666663,1831.3633333333328,1809.463333333333,1835.8066666666664,1794.07,1825.530122229229,1831.9814727854869,4.768196352691975,-100,0,9,1,-1,0
1734.35,1734.51,1732.54,1733.33,0,1727.66,1734.1199999999997,1721.8299999999997,1739.9499999999998,1715.37,1746.4099999999996,1696.62,1716.1422128700044,1718.751788198561,3.85456428407545,-80,0,6,1,-1,0
1737.5,1738.54,1729.66,1729.92,0,1727.66,1734.1199999999997,1721.8299999999997,1739.9499999999998,1715.37,1746.4099999999996,1696.62,1718.1930135614746,1719.21231933028,4.073085908204714,-100,0,9,1,-1,0
1743.65,1743.82,1741.32,1743.09,0,1749.246666666667,1765.4333333333334,1739.9133333333334,1774.7666666666669,1723.7266666666667,1790.9533333333334,1682.02,1745.058726777016,1733.1587017267173,3.973377618998133,0,100,21,4,1,0
1725.76,1730.17,1725.58,1729.06,0,1734.8066666666666,1742.3833333333332,1724.6833333333332,1752.506666666667,1717.1066666666666,1760.0833333333333,1691.83,1738.1910117439502,1732.8527991689257,4.047353942082578,100,0,14,1,1,1
1776.71,1776.81,1775.39,1776.22,0,1786.4433333333334,1795.5766666666668,1775.0966666666668,1806.9233333333332,1765.9633333333334,1816.0566666666668,1736.35,1783.2576284205154,1767.9665951520376,4.386157684882251,0,100,22,4,1,0
1777.48,1778.48,1775.89,1777.98,0,1785.5100000000002,1805.2000000000005,1773.2100000000005,1817.5,1753.5200000000002,1837.1900000000005,1701.84,1779.5182754059692,1774.2836332106947,5.55163071008438,0,100,22,1,1,0
1826.95,1827.24,1820.63,1824.23,0,1832.09,1846.26,1822.4700000000005,1855.88,1808.3,1870.05,1770.34,1829.1491106474,1804.3747306625276,6.013585925922963,0,100,18,2,1,0
1877.37,1878.9,1876.14,1878.56,0,1881.24,1886.88,1875.57,1892.55,1869.93,1898.1900000000005,1852.98,1874.7537964672683,1850.2164648759376,4.295691991075943,0,100,3,1,1,0
1891.1,1896.15,1882.13,1892.81,0,1896.03,1903.91,1888.44,1911.5,1880.56,1919.38,1857.2100000000005,1894.14390701642,1875.1944422461856,4.136655694502068,100,0,15,4,1,1
1783.14,1786.83,1779.9,1782.46,0,1780.2666666666669,1788.3333333333333,1770.5533333333333,1798.0466666666666,1762.486666666667,1806.1133333333328,1736.64,1784.1888189382398,1824.205829480485,4.281848640134821,-100,0,15,2,-1,0
1782.83,1782.98,1781.31,1781.89,0,1774.9033333333334,1784.226666666667,1767.0866666666668,1792.0433333333335,1757.763333333333,1801.366666666667,1731.2999999999995,1776.710074240278,1786.1899299488834,5.28307443880023,-100,0,19,4,-1,0
1794.85,1795.39,1790.89,1791.31,0,1782.3433333333337,1793.976666666667,1775.5366666666669,1800.7833333333335,1763.9033333333334,1812.416666666667,1733.83,1772.402084094594,1774.270605379963,3.375960902369255,-100,0,14,1,-1,0
1780.87,1790.26,1780.75,1785.56,0,1787.1933333333334,1793.9366666666667,1778.996666666667,1802.1333333333332,1772.253333333333,1808.8766666666668,1750.57,1782.0989204856571,1777.4197279291186,4.293138948663569,100,0,21,2,1,0
1781.36,1787.76,1777.7,1785.23,0,1786.1966666666667,1795.1333333333334,1778.7033333333334,1802.6266666666668,1769.7666666666669,1811.5633333333333,1744.4,1782.4081451676973,1778.1103478750676,4.353688449947667,80,0,11,3,1,0
1780.8,1780.83,1777.54,1779.97,0,1786.1966666666667,1795.1333333333334,1778.7033333333334,1802.6266666666668,1769.7666666666669,1811.5633333333333,1744.4,1782.9597378445394,1778.704107492605,4.454236042563,0,100,21,3,1,0
1798.96,1799.91,1791.05,1791.73,0,1791.1966666666667,1800.1033333333337,1780.3533333333337,1810.9466666666667,1771.4466666666667,1819.8533333333332,1742.79,1796.7893372858969,1802.1052396836087,3.6901855373275096,-100,0,15,3,-1,0
1751.87,1756.55,1750.61,1755.98,0,1754.9633333333331,1759.9066666666663,1749.0366666666662,1765.8333333333333,1744.093333333333,1770.7766666666664,1728.2799999999995,1758.1464816711823,1757.1968636121806,4.317324884624476,100,0,4,1,1,1
1825.64,1826.89,1823.94,1826.32,0,1827.7333333333331,1836.4166666666667,1822.8666666666668,1841.2833333333333,1814.1833333333332,1849.9666666666667,1791.95,1817.5843347483772,1798.7213242807206,3.4773478438677428,100,0,8,2,1,0
1858.72,1860.96,1856.71,1860.73,0,1861.47,1873.72,1854.98,1880.21,1842.73,1892.46,1811.74,1861.9483534002688,1843.043560210292,4.131889781277978,100,0,22,3,1,0
1853.74,1864.01,1851.47,1863.91,0,1861.4533333333336,1867.9866666666671,1852.1066666666677,1877.3333333333333,1845.5733333333335,1883.866666666667,1823.1600000000003,1861.204853766411,1844.9641886894265,4.11172159574031,80,0,11,4,1,0
1774.12,1778.44,1766.3,1770.01,0,1771.0266666666666,1780.3433333333332,1758.8633333333332,1792.506666666667,1749.5466666666666,1801.8233333333333,1718.75,1774.7664342889136,1794.3833779287177,4.553947826875126,-100,0,15,4,-1,0
1783.33,1783.56,1772.0,1775.15,0,1780.46,1785.34,1773.3200000000002,1792.48,1768.44,1797.36,1751.54,1778.0606277521326,1791.4478890787734,4.172764956893282,-100,0,15,1,-1,0
1790.59,1791.51,1788.0,1788.48,0,1781.2666666666669,1790.5333333333333,1774.6933333333334,1797.1066666666666,1765.4266666666667,1806.3733333333328,1740.3200000000002,1781.880947864035,1790.612148549237,3.3234879483662625,-80,0,8,2,-1,0
1787.17,1787.41,1782.04,1783.93,0,1770.0566666666666,1787.6933333333332,1759.3733333333332,1798.3766666666666,1741.736666666667,1816.013333333333,1695.7800000000002,1777.9845357365089,1781.9447874825687,3.673809297351183,-100,0,14,3,-1,0
1807.36,1808.89,1804.44,1805.43,0,1797.9733333333334,1805.746666666667,1793.736666666667,1809.9833333333331,1785.9633333333334,1817.756666666667,1766.18,1801.1041920065163,1802.7863066708985,3.4834117060645378,-100,0,15,1,-1,0
1818.1,1819.95,1813.36,1819.75,0,1818.513333333333,1823.996666666667,1813.9366666666667,1828.5733333333333,1808.4533333333331,1834.0566666666664,1792.91,1818.607026912484,1813.4767798865585,4.6938748325951805,100,0,17,1,1,0
1811.57,1811.65,1807.45,1811.28,0,1827.7966666666664,1840.8133333333328,1805.6333333333328,1862.9766666666665,1792.6166666666663,1875.9933333333329,1744.4199999999998,1828.8073405756184,1828.415895294171,4.447465441334218,0,100,13,3,1,0
1807.52,1807.55,1806.27,1806.78,0,1801.6500000000003,1807.6600000000003,1794.6700000000003,1814.6400000000003,1788.6600000000003,1820.6500000000003,1769.66,1802.826637758324,1812.460113165634,3.161106242924028,-100,0,23,2,-1,0
1827.06,1827.49,1825.48,1826.66,0,1831.003333333333,1837.4466666666667,1826.3166666666664,1842.1333333333332,1819.8733333333328,1848.5766666666668,1802.3,1829.2159934344588,1819.3738759997475,4.440421152595417,0,100,23,3,1,0
1934.72,1935.54,1932.0,1933.23,0,1924.3466666666664,1934.523333333333,1915.273333333333,1943.5966666666664,1905.0966666666664,1953.773333333333,1875.67,1927.4483879593288,1930.5701772312,5.043421107645194,-80,0,21,3,-1,0
1968.84,1974.79,1967.0,1974.13,0,1973.89,1985.1,1966.38,1992.61,1955.17,2003.82,1925.24,1968.845522844647,1948.6888796002816,4.77834737609832,100,0,13,3,1,0
1838.96,1841.03,1836.89,1840.87,0,1846.763333333333,1852.986666666667,1835.8166666666664,1863.9333333333332,1829.5933333333328,1870.1566666666668,1806.2,1854.626918441981,1850.986183441876,4.337293764027668,80,0,4,1,1,1
1846.08,1852.5,1843.67,1850.32,0,1852.26,1860.03,1844.97,1867.32,1837.2,1875.09,1814.37,1851.203090538674,1850.648325996715,3.695488376419904,100,0,15,3,1,0
1821.22,1823.92,1819.66,1819.66,0,1815.2333333333331,1825.4366666666667,1798.9566666666667,1841.7133333333331,1788.753333333333,1851.9166666666667,1752.07,1825.718602903779,1839.959362030599,5.906757513583194,-100,0,19,2,-1,0
1841.3,1842.17,1839.72,1840.01,0,1839.4433333333332,1844.256666666667,1832.8366666666668,1850.8633333333328,1828.0233333333333,1855.6766666666665,1811.7900000000004,1839.299712080537,1839.845275830304,4.562230216259444,-80,0,5,1,-1,1
1840.59,1841.58,1837.25,1837.74,0,1835.0933333333328,1841.6866666666665,1826.6566666666663,1850.1233333333328,1820.0633333333333,1856.7166666666665,1798.44,1835.1376639826408,1837.9027165259288,5.442994231952931,-80,0,21,2,-1,1
1831.22,1832.59,1815.83,1816.66,0,1822.75,1827.25,1816.07,1833.93,1811.57,1838.43,1795.89,1823.044707124167,1830.478559783132,5.129411525244484,-100,0,16,2,-1,1
1811.56,1811.69,1808.04,1809.09,0,1808.0433333333333,1812.2166666666667,1801.9466666666665,1818.3133333333333,1797.773333333333,1822.486666666667,1783.3299999999997,1807.810046138976,1820.0568029256297,4.221689036526141,-80,0,9,1,-1,1
1758.66,1758.84,1755.49,1755.95,0,1750.0733333333335,1757.756666666667,1744.346666666667,1763.4833333333331,1736.6633333333336,1771.1666666666667,1715.5700000000004,1753.7711725000966,1760.075403893903,3.7761681145607033,-100,0,21,3,-1,0
1723.7,1726.53,1713.79,1715.73,0,1709.7966666666664,1728.2933333333328,1700.4433333333327,1737.6466666666663,1681.9466666666665,1756.143333333333,1635.5999999999997,1712.100698502628,1721.051945852298,4.7141194564940365,-80,0,15,3,-1,0
1675.11,1676.27,1672.7,1674.2,0,1668.01,1676.13,1656.66,1687.4799999999998,1648.5400000000002,1695.5999999999997,1620.9500000000005,1670.587445090537,1690.146677643408,3.7807841702616822,-100,0,15,2,-1,1
1706.11,1714.14,1704.22,1713.14,0,1716.8033333333333,1738.496666666667,1704.2066666666665,1751.0933333333337,1682.513333333333,1772.7866666666669,1626.5299999999995,1702.6756419802457,1678.135514689924,6.480628744505133,100,0,15,2,1,0
1668.33,1671.5,1668.15,1670.38,0,1674.6166666666668,1682.4433333333336,1667.3933333333337,1689.6666666666667,1659.5666666666668,1697.4933333333336,1636.69,1655.9917948007185,1650.9899687213558,4.5693365652087445,80,0,8,1,1,0
1910.15,1911.82,1908.04,1911.31,0,1917.69,1924.59,1906.46,1935.82,1899.56,1942.72,1874.53,1900.8347348894504,1867.1172253340767,5.050723807473955,100,0,6,1,1,0
1906.15,1912.66,1906.0,1912.61,0,1917.69,1924.59,1906.46,1935.82,1899.56,1942.72,1874.53,1902.8248095268875,1869.9475021147125,4.81802545578585,100,0,13,1,1,0
1909.29,1914.36,1907.01,1912.95,0,1917.69,1924.59,1906.46,1935.82,1899.56,1942.72,1874.53,1903.4658468566151,1870.763058618468,5.068654602182684,100,0,15,1,1,0
1908.38,1908.86,1901.49,1905.25,0,1910.29,1916.9200000000003,1901.6000000000004,1925.61,1894.9700000000005,1932.24,1873.02,1907.7652895929457,1879.934203914964,5.696393304237363,0,100,19,2,1,0
1904.9,1905.25,1902.99,1905.05,0,1910.29,1916.9200000000003,1901.6000000000004,1925.61,1894.9700000000005,1932.24,1873.02,1907.5497194589243,1880.4297608781092,5.250869736816915,0,100,21,2,1,0
1922.27,1932.9,1921.74,1930.68,0,1932.2766666666664,1947.4133333333327,1922.0833333333333,1957.6066666666663,1906.9466666666667,1972.743333333333,1866.48,1929.670554214195,1907.9077184601804,5.298374279783772,100,0,16,2,1,1
1929.6,1929.85,1928.55,1929.1,0,1938.0533333333333,1956.256666666667,1928.0866666666664,1966.2233333333331,1909.8833333333328,1984.4266666666667,1863.51,1934.5657915345128,1915.7159952554896,5.345475903588154,0,100,23,3,1,0
1876.2,1877.72,1871.79,1872.36,0,1869.54,1879.32,1857.73,1891.13,1847.95,1900.91,1816.58,1896.884099546888,1914.4883867301087,4.939567873770857,-100,0,10,1,-1,0
1885.68,1885.78,1880.5,1882.16,0,1876.993333333333,1885.0566666666664,1867.6266666666663,1894.423333333333,1859.5633333333333,1902.486666666666,1834.0700000000004,1880.9083840586395,1900.0646565859597,4.418811144127075,-100,0,13,3,-1,0
1862.6,1863.08,1859.14,1859.18,0,1856.8933333333332,1863.3366666666668,1847.2966666666669,1872.9333333333332,1840.8533333333332,1879.3766666666668,1818.37,1864.774605835732,1886.5662595713604,4.524297058136283,-100,0,12,1,-1,0
1862.44,1866.32,1843.2,1856.3,0,1856.8933333333332,1863.3366666666668,1847.2966666666669,1872.9333333333332,1840.8533333333332,1879.3766666666668,1818.37,1863.9226626077236,1885.486020979112,7.053541968904384,-100,0,16,1,-1,0
